pisco,CCCma-CanESM2_lsraw,CSIRO-QCCCE-Mk3_lsraw,ICHEC-EC-EARTH_lsraw,IPSL-CM5A-MR_lsraw,MIROC-MIROC5_lsraw,MOHC-HadGEM2-ES_lsraw,NCC-NorESM1-M_lsraw,NOAA-GFDL-ESM2M_lsraw,CCCma-CanESM2-SAM20_lsraw,MIROC-MIROC5-SAM20_lsraw,CCCma-CanESM2_ls,CSIRO-QCCCE-Mk3_ls,ICHEC-EC-EARTH_ls,IPSL-CM5A-MR_ls,MIROC-MIROC5_ls,MOHC-HadGEM2-ES_ls,NCC-NorESM1-M_ls,NOAA-GFDL-ESM2M_ls,CCCma-CanESM2-SAM20_ls,MIROC-MIROC5-SAM20_ls,CCCma-CanESM2_ptraw,CSIRO-QCCCE-Mk3_ptraw,ICHEC-EC-EARTH_ptraw,IPSL-CM5A-MR_ptraw,MIROC-MIROC5_ptraw,MOHC-HadGEM2-ES_ptraw,NCC-NorESM1-M_ptraw,NOAA-GFDL-ESM2M_ptraw,CCCma-CanESM2-SAM20_ptraw,MIROC-MIROC5-SAM20_ptraw,CCCma-CanESM2_pt,CSIRO-QCCCE-Mk3_pt,ICHEC-EC-EARTH_pt,IPSL-CM5A-MR_pt,MIROC-MIROC5_pt,MOHC-HadGEM2-ES_pt,NCC-NorESM1-M_pt,NOAA-GFDL-ESM2M_pt,CCCma-CanESM2-SAM20_pt,MIROC-MIROC5-SAM20_pt,CSIRO-QCCCE-Mk3_dmraw,ICHEC-EC-EARTH_dmraw,IPSL-CM5A-MR_dmraw,MIROC-MIROC5_dmraw,MOHC-HadGEM2-ES_dmraw,NCC-NorESM1-M_dmraw,NOAA-GFDL-ESM2M_dmraw,CSIRO-QCCCE-Mk3_dm,ICHEC-EC-EARTH_dm,IPSL-CM5A-MR_dm,MIROC-MIROC5_dm,MOHC-HadGEM2-ES_dm,NCC-NorESM1-M_dm,NOAA-GFDL-ESM2M_dm
119.14,128.66,80.31,89.8,42.48,48.73,73.07,43.74,111.67,241.95,94.45,181.54,261.09,255,150.1,171.02,293.28,158.89,295.87,284.82,140.04,128.66,80.31,89.8,42.48,48.73,73.07,43.74,111.67,241.95,94.45,171.9,251.85,255.04,142.39,181.35,284.15,164.38,303.12,261.65,118.45,80.31,89.8,42.48,48.73,73.07,43.74,111.67,236.41,256.96,137.8,172.84,259.57,153.82,310.49
39.08,42.15,54.24,35.54,36.69,21.78,60.3,31.35,39.67,138.37,154.59,20.38,58.63,32.51,44.87,31.38,35.34,57.39,38.08,62.2,90.15,42.15,54.24,35.54,36.69,21.78,60.3,31.35,39.67,138.37,154.59,16.16,57.73,32.08,44.84,30.57,34.91,57.64,37.41,61.1,95.63,54.24,35.54,36.69,21.78,60.3,31.35,39.67,57.85,32.5,45.65,29.23,31.84,58.87,36.53
5.34,53.54,60.56,24.99,46.49,27.85,30.36,16.12,3.3,73.31,11.95,8.56,19.23,18.3,27.35,29.43,5.88,21,4.19,30.44,12.01,53.54,60.56,24.99,46.49,27.85,30.36,16.12,3.3,73.31,11.95,5.63,19.04,21.27,27.56,35.43,1.72,24.62,3.44,41.8,7.62,60.56,24.99,46.49,27.85,30.36,16.12,3.3,20.04,19.28,30.89,31.63,2.69,23.21,1.38
13.05,15.32,29.81,21.72,5.67,13.24,85.79,13.2,12.52,13.65,0.05,3.32,16.64,23.37,4.73,18.06,17.82,20.24,18.81,17.81,0.27,15.32,29.81,21.72,5.67,13.24,85.79,13.2,12.52,13.65,0.05,0.25,36.65,20.88,1.12,10.51,10.68,17.29,22.85,20.05,0.13,29.81,21.72,5.67,13.24,85.79,13.2,12.52,21.61,25.48,1.86,14.67,14.84,17.97,25.39
1.11,153.01,43.33,15.89,47.22,10.07,86.26,17.38,14.19,5.01,0.95,7.44,6.68,5.4,13.4,3.6,6.84,5.77,7.19,2.08,1.01,153.01,43.33,15.89,47.22,10.07,86.26,17.38,14.19,5.01,0.95,5.7,7.33,4.95,24.83,1.75,7.17,3.69,3.58,0.69,0.85,43.33,15.89,47.22,10.07,86.26,17.38,14.19,7.03,6.47,19.53,2.79,8.12,5.12,7.01
1.73,117.9,39.37,40.65,137.15,15.39,126.96,16.92,26.79,10.34,1.51,8.03,4.96,14.92,34.96,4.59,20.84,6.81,10.44,6.17,1.86,117.9,39.37,40.65,137.15,15.39,126.96,16.92,26.79,10.34,1.51,20.48,2.26,12.93,55.5,3.17,22.7,3.1,9.08,4.28,1.99,39.37,40.65,137.15,15.39,126.96,16.92,26.79,1.74,13.38,40.28,4.07,25.32,3.79,10.05
39.58,200.41,69.81,32.25,55.13,63.41,49.44,20.62,33.2,33,1.2,31.71,22.94,27.71,28.17,46.36,53,35,26.42,30.33,2.02,200.41,69.81,32.25,55.13,63.41,49.44,20.62,33.2,33,1.2,30.78,9.61,23.48,20.29,54.44,52.43,32.61,17.16,32.65,2.41,69.81,32.25,55.13,63.41,49.44,20.62,33.2,11.75,25.31,17.83,56.25,43.74,30.81,19.05
4.96,164.82,89.51,121.12,64.42,67.72,26.95,43.5,19.43,25.26,13.56,27,38.68,115.3,41.37,63.37,38.14,35.88,18.22,15.17,17.18,164.82,89.51,121.12,64.42,67.72,26.95,43.5,19.43,25.26,13.56,20.17,38.36,106.31,38.62,55.63,37.61,41.88,18.29,12.82,29.61,89.51,121.12,64.42,67.72,26.95,43.5,19.43,37.35,130.4,39.44,73.41,26.45,35.85,12.95
12.13,201.12,131.62,69.34,127.83,22.28,29.84,58.97,38.74,107,20.02,43.41,51.16,50.03,87.05,17.62,42.7,33.18,27.3,39.98,22.55,201.12,131.62,69.34,127.83,22.28,29.84,58.97,38.74,107,20.02,42.3,52.61,50.27,89.53,19.28,42.76,33.41,30.14,37.16,25.04,131.62,69.34,127.83,22.28,29.84,58.97,38.74,55.66,50.57,111.58,14.92,31.05,32.31,24.33
95.69,202.84,191.11,190.77,72.85,108.1,25.6,54.16,29.18,296.16,83,129.66,137.22,191.87,123.85,149.34,59.66,71.13,26.68,194.79,179.72,202.84,191.11,190.77,72.85,108.1,25.6,54.16,29.18,296.16,83,128.72,132.56,166,116.57,138.56,70.14,77.2,38.52,226.66,141.65,191.11,190.77,72.85,108.1,25.6,54.16,29.18,136.38,181.97,118.3,143.94,48.01,71.76,28.95
