pisco,CCCma-CanESM2_lsraw,CSIRO-QCCCE-Mk3_lsraw,ICHEC-EC-EARTH_lsraw,IPSL-CM5A-MR_lsraw,MIROC-MIROC5_lsraw,MOHC-HadGEM2-ES_lsraw,NCC-NorESM1-M_lsraw,NOAA-GFDL-ESM2M_lsraw,CCCma-CanESM2-SAM20_lsraw,MIROC-MIROC5-SAM20_lsraw,CCCma-CanESM2_ls,CSIRO-QCCCE-Mk3_ls,ICHEC-EC-EARTH_ls,IPSL-CM5A-MR_ls,MIROC-MIROC5_ls,MOHC-HadGEM2-ES_ls,NCC-NorESM1-M_ls,NOAA-GFDL-ESM2M_ls,CCCma-CanESM2-SAM20_ls,MIROC-MIROC5-SAM20_ls,CCCma-CanESM2_ptraw,CSIRO-QCCCE-Mk3_ptraw,ICHEC-EC-EARTH_ptraw,IPSL-CM5A-MR_ptraw,MIROC-MIROC5_ptraw,MOHC-HadGEM2-ES_ptraw,NCC-NorESM1-M_ptraw,NOAA-GFDL-ESM2M_ptraw,CCCma-CanESM2-SAM20_ptraw,MIROC-MIROC5-SAM20_ptraw,CCCma-CanESM2_pt,CSIRO-QCCCE-Mk3_pt,ICHEC-EC-EARTH_pt,IPSL-CM5A-MR_pt,MIROC-MIROC5_pt,MOHC-HadGEM2-ES_pt,NCC-NorESM1-M_pt,NOAA-GFDL-ESM2M_pt,CCCma-CanESM2-SAM20_pt,MIROC-MIROC5-SAM20_pt,CSIRO-QCCCE-Mk3_dmraw,ICHEC-EC-EARTH_dmraw,IPSL-CM5A-MR_dmraw,MIROC-MIROC5_dmraw,MOHC-HadGEM2-ES_dmraw,NCC-NorESM1-M_dmraw,NOAA-GFDL-ESM2M_dmraw,CSIRO-QCCCE-Mk3_dm,ICHEC-EC-EARTH_dm,IPSL-CM5A-MR_dm,MIROC-MIROC5_dm,MOHC-HadGEM2-ES_dm,NCC-NorESM1-M_dm,NOAA-GFDL-ESM2M_dm
58.08,312.27,107.13,70.29,59.61,19.66,16.38,18.02,38.86,59.77,11.11,51.15,46.3,66.89,38.31,18.4,23.2,14.88,36.45,35.94,14.08,312.27,107.13,70.29,59.61,19.66,16.38,18.02,38.86,59.77,11.11,52.61,46.17,62.39,31.89,20.38,22.14,20.92,36.5,35.54,15.95,107.13,70.29,59.61,19.66,16.38,18.02,38.86,46.56,73.52,29.44,15.41,11.95,13.95,36.87
70.76,198.82,135.71,59.2,77.01,89.2,15.68,72.28,118.55,93.57,11.75,42.93,52.74,42.71,52.44,70.5,22.42,40.68,83.54,34.97,13.23,198.82,135.71,59.2,77.01,89.2,15.68,72.28,118.55,93.57,11.75,41.9,53.04,43,52.41,66.89,22.79,40.34,75.47,29.77,22.02,135.71,59.2,77.01,89.2,15.68,72.28,118.55,55.13,42.81,54.65,77.12,13.9,39.87,87.63
106.74,138.31,273.06,112.17,46.05,79.69,26.2,47.8,61.39,95.12,69.29,88.41,196.07,112.81,78.31,110.15,61.05,62.77,56.14,62.58,150.02,138.31,273.06,112.17,46.05,79.69,26.2,47.8,61.39,95.12,69.29,89.8,180.81,105.59,88.35,114.9,73.45,76.08,69.85,53.8,125.13,273.06,112.17,46.05,79.69,26.2,47.8,61.39,195.72,109.92,73.36,110.49,51.61,66.67,58.46
164.42,235.43,162.97,71.68,85.06,115.29,55.11,203.76,135.04,110.47,101.95,237.34,218.55,132.37,210.03,285.74,293.33,374.27,242.07,124.29,200.34,235.43,162.97,71.68,85.06,115.29,55.11,203.76,135.04,110.47,101.95,237.29,222.36,148.44,214.45,282.09,278.17,338.22,244.34,93.63,210.21,162.97,71.68,85.06,115.29,55.11,203.76,135.04,216.29,139.81,206.07,280.17,240.68,348.83,242.48
119.83,112.37,191.42,102.88,103.95,133.24,26.75,75.09,102.14,213.6,268.72,77.24,171.72,151.44,158.3,258.71,69.37,118.3,150.05,146.8,243.21,112.37,191.42,102.88,103.95,133.24,26.75,75.09,102.14,213.6,268.72,81.26,168.47,133.45,161.24,236.23,90.3,131.07,151.45,151.06,239.04,191.42,102.88,103.95,133.24,26.75,75.09,102.14,164.95,141.99,158.07,246.24,47.29,123.1,148.79
197.72,183.56,57.37,79.42,61.15,104.06,38.82,85.74,81.01,183.48,209.95,259.01,186.54,225.52,216.09,365.17,155.78,311.44,214.65,215.99,311.29,183.56,57.37,79.42,61.15,104.06,38.82,85.74,81.01,183.48,209.95,263.87,189.57,225.75,207.05,355.95,166.08,304.18,206.64,152.92,309.62,57.37,79.42,61.15,104.06,38.82,85.74,81.01,168.07,219.49,204.77,362.13,129.1,314.09,202.48
50.96,126.82,75.83,52.61,43.72,39.51,60.34,23.42,67.1,132.02,139.34,61.23,81.96,48.11,53.46,56.94,35.36,42.86,64.42,59.33,81.28,126.82,75.83,52.61,43.72,39.51,60.34,23.42,67.1,132.02,139.34,61.07,86.79,46.52,56,56.68,35.06,42.36,64.15,57.46,92.49,75.83,52.61,43.72,39.51,60.34,23.42,67.1,89.72,47.33,56.61,57.29,31.45,42.3,64.05
6.68,103.1,45.03,13.69,16.37,32.89,86.92,18.43,20.44,14.59,16.82,16.46,14.29,10.04,9.63,34.73,16.77,24.04,25.83,6.06,16.91,103.1,45.03,13.69,16.37,32.89,86.92,18.43,20.44,14.59,16.82,13.3,12.46,6.08,4.65,36.06,19.02,23.42,24.63,1.36,13.08,45.03,13.69,16.37,32.89,86.92,18.43,20.44,14.59,7.07,7.24,37.73,18.26,24.72,14.55
116.26,33.8,64.34,7.72,25.7,16.58,137.24,12.34,24.96,0.79,6.84,7.37,35.92,8.28,21.43,22.63,28.53,18.93,37.52,1.03,37.37,33.8,64.34,7.72,25.7,16.58,137.24,12.34,24.96,0.79,6.84,1.95,64.19,4.52,25.14,10.95,27.55,14.56,38.56,0.59,36.49,64.34,7.72,25.7,16.58,137.24,12.34,24.96,49.85,6.47,24.72,17.93,35.96,16.18,43.27
8.97,14.85,33.77,25.47,16.8,3.33,142.3,17.69,21.66,8.73,0.84,0.72,5.2,8.69,4.78,1.18,11.27,5.9,11.01,3.64,0.9,14.85,33.77,25.47,16.8,3.33,142.3,17.69,21.66,8.73,0.84,0.02,3.64,9.43,1.37,0.34,11.06,1.42,18.26,4.53,0.66,33.77,25.47,16.8,3.33,142.3,17.69,21.66,5.88,10.65,3.19,0.63,14.1,3.77,12.61
23.69,110.05,126.9,70.99,27.37,9.32,130.85,32.25,6.33,21.56,4.92,7.5,15.89,26.1,6.97,2.77,21.48,13.01,2.46,12.84,6.03,110.05,126.9,70.99,27.37,9.32,130.85,32.25,6.33,21.56,4.92,5,23.09,33.13,5.14,1.01,24.26,12.02,2.18,10.83,6.2,126.9,70.99,27.37,9.32,130.85,32.25,6.33,27.58,31.43,6.5,1.74,26.7,14.18,2.44
120.4,162.45,118.97,46.15,54.38,53.71,34.57,27.75,85.26,24.54,103.08,25.72,39.1,39.68,27.78,39.26,37.07,47.08,67.86,22.54,171.73,162.45,118.97,46.15,54.38,53.71,34.57,27.75,85.26,24.54,103.08,20.46,29.14,40.79,18.54,36.08,35.59,49.82,113.99,20.18,162.47,118.97,46.15,54.38,53.71,34.57,27.75,85.26,34.7,42.07,16.18,36.65,25.21,58.29,94.69
62.75,235.13,99.91,74.68,52.52,22.22,22.07,33,59.77,77.47,18.87,38.53,43.18,71.06,33.72,20.8,31.25,27.2,56.11,46.57,23.92,235.13,99.91,74.68,52.52,22.22,22.07,33,59.77,77.47,18.87,39.31,42.86,65.63,29.3,23.03,30.94,30.48,56.01,47.82,30.08,99.91,74.68,52.52,22.22,22.07,33,59.77,42.11,79.54,28.18,17.37,21.79,26.56,63.83
33.37,160.88,99.57,60.69,45.78,52.48,57.17,58.81,59.25,129.96,57.55,34.74,38.68,43.78,31.17,41.46,81.83,33.07,41.74,48.58,64.84,160.88,99.57,60.69,45.78,52.48,57.17,58.81,59.25,129.96,57.55,30.77,37.84,44.8,30.54,42.65,81.14,34.66,43.4,56.22,65.43,99.57,60.69,45.78,52.48,57.17,58.81,59.25,37.2,42.5,26.39,40.47,67.98,31.71,39.72
109.22,117.17,162.83,97.29,75.09,108.62,43.55,114.87,68.55,149.43,28.67,74.89,116.87,97.83,127.66,150.11,101.47,150.77,62.68,98.3,62.06,117.17,162.83,97.29,75.09,108.62,43.55,114.87,68.55,149.43,28.67,76.34,108.97,104.57,121.93,126.64,107.09,135.99,74.32,90.42,74.17,162.83,97.29,75.09,108.62,43.55,114.87,68.55,114.75,99.45,119.87,141.19,85.58,142.54,64.48
207.91,211.06,222.8,149.09,67.71,119.8,29.95,62.23,71.21,167.89,124.4,212.73,298.79,275.3,167.21,296.9,159.41,114.31,127.66,188.86,244.45,211.06,222.8,149.09,67.71,119.8,29.95,62.23,71.21,167.89,124.4,212.79,256.81,276.96,179.21,288.19,183.69,143.49,139.37,154.71,258.09,222.8,149.09,67.71,119.8,29.95,62.23,71.21,281.87,271.74,166.56,290.19,129.83,129.83,133.5
145.93,178.38,193.01,124.93,81.43,67.46,106.23,122.04,60.72,242.81,285.89,122.66,173.15,183.86,123.99,130.99,275.5,192.29,89.18,166.88,258.76,178.38,193.01,124.93,81.43,67.46,106.23,122.04,60.72,242.81,285.89,125.29,162.89,178.36,134.15,138.67,201.8,187.27,96.49,163.59,254.87,193.01,124.93,81.43,67.46,106.23,122.04,60.72,162.92,179.15,126.02,133.34,207.86,187.78,90.08
298.12,173.55,27.41,86.87,65.53,68.45,54.19,44.02,86.34,229.44,210.23,244.9,89.11,246.66,231.57,240.22,217.47,159.91,228.77,270.08,311.7,173.55,27.41,86.87,65.53,68.45,54.19,44.02,86.34,229.44,210.23,238.15,107.37,246.74,225.46,234.25,211.04,168.98,220.07,310.36,345.47,27.41,86.87,65.53,68.45,54.19,44.02,86.34,67.68,247.55,224.12,237.51,178.83,153.9,215.81
47.44,147.31,43.96,105.2,24.92,39.01,57.75,24.93,55.14,138.84,63.26,71.13,47.51,96.25,30.47,56.2,33.84,45.65,52.93,62.45,36.89,147.31,43.96,105.2,24.92,39.01,57.75,24.93,55.14,138.84,63.26,78.18,44.95,105.77,23.52,55.2,33.7,45.06,53.95,66.87,34.33,43.96,105.2,24.92,39.01,57.75,24.93,55.14,44.16,110.64,22.77,54.7,31.25,44.82,53.74
24.83,142.98,52.71,23.44,22.84,30.08,103.03,11.74,5,45.92,56.31,22.85,16.73,17.16,13.44,31.77,19.9,15.28,6.31,19.06,56.64,142.98,52.71,23.44,22.84,30.08,103.03,11.74,5,45.92,56.31,26.74,12.18,15.17,6.17,39.28,28.15,12.44,5.05,20.63,60.27,52.71,23.44,22.84,30.08,103.03,11.74,5,16.58,15.87,10.12,33.88,25.35,13.87,1.62
33.1,187.99,29.24,11.22,62.41,11.82,104.38,21.02,12.44,18.34,14.62,40.99,16.29,12.06,52.05,16.1,21.7,32.24,18.72,23.94,79.89,187.99,29.24,11.22,62.41,11.82,104.38,21.02,12.44,18.34,14.62,69.51,12.19,6.57,95.13,8.19,9.46,68.35,19,19.6,89.7,29.24,11.22,62.41,11.82,104.38,21.02,12.44,16.16,9.73,70.32,12.68,14.71,45.61,19.62
3.1,270.6,17.14,14.89,8.31,20.24,53.7,6.51,23.64,28.79,2,13.16,2.63,5.06,2.36,7.29,4.26,2.19,11.99,12,2.12,270.6,17.14,14.89,8.31,20.24,53.7,6.51,23.64,28.79,2,18.46,0.53,2.56,0.37,5.09,0.88,3.11,16.26,12.93,1.73,17.14,14.89,8.31,20.24,53.7,6.51,23.64,1.49,4.4,1.02,6.96,3.08,2.71,13.7
1.93,214.05,46.46,68.03,8.61,48.94,45.87,15.29,63.61,17.17,22.74,14.65,5.8,25.07,2.18,14.58,7.53,6.17,24.8,10.23,27.89,214.05,46.46,68.03,8.61,48.94,45.87,15.29,63.61,17.17,22.74,11.8,3.45,34.52,0.95,14.02,5.03,3.55,27.61,9.66,27.95,46.46,68.03,8.61,48.94,45.87,15.29,63.61,3.34,31.86,1.59,14.97,5.11,4.47,29.42
28.25,442.87,189.18,36.76,87.57,52.8,27.76,11.99,29.32,82.42,11.39,70.08,62.17,31.6,44.73,38.57,29.76,20.33,23.31,75.77,19,442.87,189.18,36.76,87.57,52.8,27.76,11.99,29.32,82.42,11.39,96.14,79.31,26.05,61.35,41.45,28.8,17.07,12.86,104.21,20.92,189.18,36.76,87.57,52.8,27.76,11.99,29.32,79.53,27.79,49.82,44.25,21.48,11.39,14.67
34.07,309.4,85.53,24.65,57.08,41.29,17.66,38.22,34.06,56.77,9.05,50.68,36.99,23.46,36.67,38.63,25,31.59,31.96,34.15,11.47,309.4,85.53,24.65,57.08,41.29,17.66,38.22,34.06,56.77,9.05,51,36.57,25.56,32.08,40.27,24.07,36.14,32.01,31.29,21.14,85.53,24.65,57.08,41.29,17.66,38.22,34.06,34.58,20.48,30.96,36.88,12.44,31.13,28.4
50.94,184.4,66.64,27.15,135.68,25.49,29.25,140.75,27.17,153.44,33.85,39.8,25.88,19.62,92.34,20.14,41.87,79.15,19.11,57.36,38.13,184.4,66.64,27.15,135.68,25.49,29.25,140.75,27.17,153.44,33.85,40.41,24.41,21.13,94.78,22.1,41.73,73.74,22.58,58.3,40.18,66.64,27.15,135.68,25.49,29.25,140.75,27.17,21.78,16.55,117.94,17.09,33.55,80.23,15.85
59.14,138.03,233.01,104.29,120.8,65.34,41.15,142.53,99.46,227.36,68.03,88.22,167.33,104.9,205.39,90.3,95.86,187.08,90.93,149.53,147.31,138.03,233.01,104.29,120.8,65.34,41.15,142.53,99.46,227.36,68.03,89.61,153.24,108.24,164.58,92.54,100.71,169.71,93.74,156.36,108.18,233.01,104.29,120.8,65.34,41.15,142.53,99.46,165.73,105.02,195.82,89.76,77.75,178.19,89.25
157.56,285.51,233.36,178.09,78.51,95.52,15.6,158.4,66.53,292.34,139.57,287.8,312.97,328.88,193.85,236.73,83.02,290.95,119.26,328.93,274.25,285.51,233.36,178.09,78.51,95.52,15.6,158.4,66.53,292.34,139.57,287.71,298.48,314.43,192.77,240.4,102.01,274.22,130.86,361.19,266.9,233.36,178.09,78.51,95.52,15.6,158.4,66.53,306.28,316.43,187.86,235.51,54.47,277.9,125.16
111.65,303.25,154.18,74.17,123.17,74.94,45.3,75.65,73.78,214.7,176.54,208.92,138.29,109.14,187.57,145.52,117.47,119.2,108.38,147.57,159.78,303.25,154.18,74.17,123.17,74.94,45.3,75.65,73.78,214.7,176.54,205.36,143.07,127.69,179.81,136.73,129.46,126.54,115.14,152.65,158.98,154.18,74.17,123.17,74.94,45.3,75.65,73.78,134.99,116.45,183.76,141.68,95.71,120.99,109.3
203.95,163.68,25.68,76.49,77.86,74.82,43.6,79.93,31.63,227.43,279.03,230.97,83.51,217.21,275.11,262.57,174.99,290.31,83.82,267.7,413.69,163.68,25.68,76.49,77.86,74.82,43.6,79.93,31.63,227.43,279.03,232,102.27,217.54,278.32,268.5,193.49,286.61,74.26,306.15,504.44,25.68,76.49,77.86,74.82,43.6,79.93,31.63,69.59,207.12,283.88,262.92,152.41,291.78,63.86
24.85,78.8,29.79,36.02,60.76,38.31,95.42,28.56,38.43,180.88,44.44,38.08,32.2,32.97,74.31,55.19,55.93,52.28,36.92,81.3,25.97,78.8,29.79,36.02,60.76,38.31,95.42,28.56,38.43,180.88,44.44,34.05,29.15,30.29,97.58,55.92,56.49,50.69,36.16,96.82,22.99,29.79,36.02,60.76,38.31,95.42,28.56,38.43,26.02,29.92,93.8,57.59,56.56,49.75,34.95
3.42,87.33,25.64,15.58,47.05,14.98,124.89,24.31,24.04,7.82,37.13,13.94,8.13,11.43,27.69,15.82,24.13,31.67,30.35,3.24,37.36,87.33,25.64,15.58,47.05,14.98,124.89,24.31,24.04,7.82,37.13,10.93,2.59,8.81,35.68,12.57,42.29,57.13,36.19,1.66,37.68,25.64,15.58,47.05,14.98,124.89,24.31,24.04,4.8,9.85,34.65,16.18,32.71,40.11,26.92
39.5,98.58,34.53,9.94,37.36,27.73,116.43,28.17,5.56,37.26,5.09,21.5,19.29,10.69,31.16,37.81,24.18,43.23,8.37,48.62,27.79,98.58,34.53,9.94,37.36,27.73,116.43,28.17,5.56,37.26,5.09,15.93,5.87,4.76,25.86,55.17,34.99,53.12,6.05,52.16,26.38,34.53,9.94,37.36,27.73,116.43,28.17,5.56,13.91,7.45,30.12,45.76,30.6,49.11,5.34
10.74,172.4,27.39,22.31,15.24,44.14,136.27,43.26,6,35.82,22.14,8.39,4.23,7.63,4.33,15.92,10.81,14.42,3.04,14.91,23.58,172.4,27.39,22.31,15.24,44.14,136.27,43.26,6,35.82,22.14,7.43,1.28,5.35,2.17,24.64,18.45,19.83,2,38.98,25.64,27.39,22.31,15.24,44.14,136.27,43.26,6,3.3,7.65,3.85,21.05,15.77,19.72,2.91
34.1,257.16,105.5,39.17,132.52,71,47.59,38.12,24.46,58.05,1.61,17.56,13.2,14.42,33.81,21.2,7.83,15.37,9.52,34.59,1.97,257.16,105.5,39.17,132.52,71,47.59,38.12,24.46,58.05,1.61,16.55,10.51,12.29,47.58,16.8,9.35,18.21,6.93,50.36,2.17,105.5,39.17,132.52,71,47.59,38.12,24.46,11.72,12.76,38.5,20.28,9.32,19.94,7.43
41.27,351.6,112.17,26.63,67.77,52.6,13.79,20.32,43.43,40.87,4.25,55.64,36.88,22.87,34.61,38.48,14.81,34.47,34.54,37.57,7.09,351.6,112.17,26.63,67.77,52.6,13.79,20.32,43.43,40.87,4.25,54.2,33.79,15.48,46.16,39.61,13.74,32.8,25.28,27.7,7.81,112.17,26.63,67.77,52.6,13.79,20.32,43.43,35.73,17.66,34.74,42.08,6.48,31.83,28.98
49.26,252.03,64.68,38.48,67.69,55.93,15.23,47.05,26.74,89.13,11.65,41.29,27.95,36.63,43.47,52.3,21.58,38.86,25.07,53.61,14.76,252.03,64.68,38.48,67.69,55.93,15.23,47.05,26.74,89.13,11.65,40.8,27.49,37.72,47.52,51.84,21.38,40.58,25.14,56.43,30.74,64.68,38.48,67.69,55.93,15.23,47.05,26.74,24.72,35.88,51.25,54.35,15.79,38.55,22.22
48.95,358.97,197.29,56.44,73.99,32.92,23.35,58.1,76.52,151.91,60.28,77.49,76.67,40.7,50.38,26.02,33.41,32.71,53.92,56.78,67.93,358.97,197.29,56.44,73.99,32.92,23.35,58.1,76.52,151.91,60.28,86.11,79.73,40.61,50.87,27.86,33.72,33.97,53.83,57.7,71.54,197.29,56.44,73.99,32.92,23.35,58.1,76.52,87.47,41.13,57.12,23.39,23.44,31.3,53.06
79.44,175.57,75.82,177.51,66.93,19.98,22.56,80.37,225.58,139.44,6.58,112.23,54.45,178.53,113.81,27.65,52.57,105.5,206.28,91.7,14.24,175.57,75.82,177.51,66.93,19.98,22.56,80.37,225.58,139.44,6.58,112.67,64.41,158.94,112.58,43.52,64.42,109.41,182.34,82.42,51.23,75.82,177.51,66.93,19.98,22.56,80.37,225.58,53.36,170.4,108.86,32.04,43.45,104.87,194.97
258.02,172.65,234.76,150.89,119,151.2,63.17,79.79,220.87,224.23,78.73,174.05,314.83,278.6,293.83,374.73,336.22,146.56,395.91,252.31,154.69,172.65,234.76,150.89,119,151.2,63.17,79.79,220.87,224.23,78.73,174.05,291.46,265.18,290.16,332.94,310.25,148.6,378.94,265.91,168.04,234.76,150.89,119,151.2,63.17,79.79,220.87,306.86,269.03,288.93,354.79,275.98,145.75,385.24
141.19,222,216.13,50.97,149.36,98.07,52.21,101.65,60.58,196.72,92.15,152.6,193.86,75.02,227.46,190.39,135.41,160.16,89.03,135.21,83.38,222,216.13,50.97,149.36,98.07,52.21,101.65,60.58,196.72,92.15,152.59,191.57,96.41,212.02,178.32,137.3,156.58,99.07,135.55,84.77,216.13,50.97,149.36,98.07,52.21,101.65,60.58,189.23,84.49,221.97,183.81,106.61,156.73,91.46
231.36,165.23,82.08,71.17,68.39,29.15,15.99,38.04,140.72,242.65,28.81,233.16,266.86,202.08,241.65,102.34,64.14,138.19,372.87,285.63,42.71,165.23,82.08,71.17,68.39,29.15,15.99,38.04,140.72,242.65,28.81,228.54,260.98,202.12,244.91,112.9,84.08,146.08,379.12,275.13,23.58,82.08,71.17,68.39,29.15,15.99,38.04,140.72,245.46,201.79,245.41,103.54,34.49,133,390.57
82.36,148.32,61.3,53.47,27.59,23.02,58.37,26.28,44.21,147.79,15.25,71.62,66.21,48.9,33.74,33.15,34.22,48.11,42.45,66.44,8.89,148.32,61.3,53.47,27.59,23.02,58.37,26.28,44.21,147.79,15.25,75.04,71.35,45.13,30.42,31.73,33.83,46.88,41.96,60.34,5.01,61.3,53.47,27.59,23.02,58.37,26.28,44.21,70.71,45.4,30.17,29.43,30.77,46.27,41.24
27.43,60.82,40.88,27.41,30.79,16.86,68.81,22.1,4.47,23.81,5.61,9.73,12.99,20.1,18.11,17.81,13.3,28.81,5.67,9.86,5.64,60.82,40.88,27.41,30.79,16.86,68.81,22.1,4.47,23.81,5.61,6.36,10.29,19.13,19.97,12.83,7.27,31.61,4.42,5.88,3.88,40.88,27.41,30.79,16.86,68.81,22.1,4.47,11.28,20.53,19.61,16.6,9.99,30.04,1.28
31.69,65.57,64.16,39.25,23.74,9.87,281.29,15.63,0.3,31.56,0.26,14.31,35.84,42.25,19.83,13.45,58.45,23.99,0.45,41.18,1.42,65.57,64.16,39.25,23.74,9.87,281.29,15.63,0.3,31.56,0.26,7.75,32.9,69.35,27.99,7.68,113.79,21.4,0.16,42.75,0.88,64.16,39.25,23.74,9.87,281.29,15.63,0.3,40.14,56.92,21.26,11.43,106.99,22.66,0
11.88,131.77,31.23,36.45,27.05,21.58,93.36,21.13,6.21,19.92,0,6.45,4.81,12.43,7.64,7.78,7.4,7.07,3.16,8.29,0,131.77,31.23,36.45,27.05,21.58,93.36,21.13,6.21,19.92,0,2.92,2.22,17.03,5.46,6.59,6.2,21.97,1.13,5.57,0,31.23,36.45,27.05,21.58,93.36,21.13,6.21,4.13,16.51,7.81,8.04,9.07,10.57,2.44
24.04,303.96,89.99,8.81,27.84,97.07,72.79,30.26,34.13,25.79,18.75,20.79,11.27,3.23,7.09,28.97,11.97,12.19,13.33,15.38,23.02,303.96,89.99,8.81,27.84,97.07,72.79,30.26,34.13,25.79,18.75,24.44,9.62,1.89,3.96,37.25,9.83,11.4,10.77,13.42,22.78,89.99,8.81,27.84,97.07,72.79,30.26,34.13,10.84,1.62,6.07,31.79,10.9,13.08,11.84
55,280.12,130.35,39.82,124.05,35.48,26.3,22.05,43.78,53.36,4.14,44.33,42.81,34.21,63.33,25.93,28.21,37.42,34.87,49.04,6.89,280.12,130.35,39.82,124.05,35.48,26.3,22.05,43.78,53.36,4.14,45.82,45.48,30.54,71.38,21.29,27.57,38.45,30.82,38.75,7.21,130.35,39.82,124.05,35.48,26.3,22.05,43.78,50.06,33.14,65.73,20.01,21.8,41.1,34.57
65.09,311.25,56.68,22.57,70.16,104.72,21.6,43.54,37.71,60.33,6.64,50.98,24.5,21.47,45.06,97.99,30.56,35.95,35.38,36.25,8.43,311.25,56.68,22.57,70.16,104.72,21.6,43.54,37.71,60.33,6.64,51.55,24.2,23.3,42.87,93.33,29.68,40.22,35.4,32.28,17.3,56.68,22.57,70.16,104.72,21.6,43.54,37.71,22.08,19.07,44.45,108.45,15.55,35.6,35.28
83.02,119.35,79.34,35.61,52.66,17.01,62.52,73.25,92.92,95.79,23.39,25.79,30.85,25.69,35.82,13.44,89.5,41.24,65.46,35.79,26.35,119.35,79.34,35.61,52.66,17.01,62.52,73.25,92.92,95.79,23.39,21.12,29.36,26.98,35.33,15.05,88.89,42.9,64.97,35.12,35.34,79.34,35.61,52.66,17.01,62.52,73.25,92.92,27.13,23.37,32.36,10.64,73.29,39.74,64.8
134.84,167.27,132.25,93.18,45.79,82.23,24.28,43.39,220.65,210.51,25,106.92,94.95,93.7,77.88,113.62,56.57,56.98,201.79,138.44,54.14,167.27,132.25,93.18,45.79,82.23,24.28,43.39,220.65,210.51,25,106.79,98.88,93.39,84.52,115.03,70.85,71.33,184.15,141,40.53,132.25,93.18,45.79,82.23,24.28,43.39,220.65,94.03,93.45,71.55,112.27,42.52,61.37,192.4
331.55,175.32,221.37,179.82,54.97,76.3,116.14,246.25,236.07,177.76,87.7,176.74,296.87,332.02,135.73,189.14,618.18,452.27,423.16,200.01,172.32,175.32,221.37,179.82,54.97,76.3,116.14,246.25,236.07,177.76,87.7,176.74,284.48,307.85,147.32,196.31,413.3,364.39,395.22,214.5,171.32,221.37,179.82,54.97,76.3,116.14,246.25,236.07,290.16,315.88,134.37,189.52,467.53,400.63,407.27
148.77,232.3,221.05,84.13,92.58,62.48,51.09,81.7,114.81,292.28,111.35,159.72,198.3,123.79,140.99,121.32,132.52,128.74,168.61,200.91,100.79,232.3,221.05,84.13,92.58,62.48,51.09,81.7,114.81,292.28,111.35,159.62,192.6,134,136.7,129.59,153.57,126.57,170.09,226.32,100.32,221.05,84.13,92.58,62.48,51.09,81.7,114.81,190.94,126.54,138.79,123.68,122.38,127.1,166.94
210.44,106.6,58.9,145.36,89.89,181.77,21.26,62.94,103.03,190.7,208.6,150.41,191.51,412.77,317.64,637.89,85.31,228.57,272.99,224.47,309.24,106.6,58.9,145.36,89.89,181.77,21.26,62.94,103.03,190.7,208.6,132.48,203.46,411.99,322.72,584.45,107.32,234.94,270.36,236.28,297.13,58.9,145.36,89.89,181.77,21.26,62.94,103.03,182.21,445.88,330.67,623.84,61,224.26,271.78
81.45,113.43,15.58,55.93,24.77,27,82.14,29.3,57.51,168.21,137.77,54.75,16.8,51.18,30.27,38.91,48.12,53.63,55.2,75.62,80.35,113.43,15.58,55.93,24.77,27,82.14,29.3,57.51,168.21,137.77,53.35,13.76,49.57,24.39,38.36,48.46,53.05,55.19,96.25,81.48,15.58,55.93,24.77,27,82.14,29.3,57.51,8.35,50.76,23.88,37.64,47.03,53.23,54.84
22.39,83.65,34.98,39.04,34.26,9.73,78.23,4.5,3.76,32.11,16.75,13.34,11.07,28.59,20.18,10.26,15.1,5.86,4.77,13.31,16.84,83.65,34.98,39.04,34.26,9.73,78.23,4.5,3.76,32.11,16.75,10.32,4.09,29.11,20.73,6.64,10.3,3.17,3.67,5.79,13.76,34.98,39.04,34.26,9.73,78.23,4.5,3.76,7.84,30.74,22.26,9.27,14.02,3.87,1.04
13.28,160.77,4.98,32.27,40.13,3.51,100.56,13.73,25.64,8.99,0.71,35.04,2.76,34.74,33.47,4.76,20.88,21.07,38.52,11.74,3.88,160.77,4.98,32.27,40.13,3.51,100.56,13.73,25.64,8.99,0.71,50.71,0.19,50.13,60.24,1.15,10.86,14.16,39.04,9.34,3.1,4.98,32.27,40.13,3.51,100.56,13.73,25.64,0.91,42.7,40.26,2.35,16.64,16.48,43.93
2.09,223.76,45.79,8.08,34.47,10.63,119.78,25.48,17.12,33.37,0.51,10.91,7.03,2.74,9.78,3.81,9.47,8.5,8.67,13.88,0.54,223.76,45.79,8.08,34.47,10.63,119.78,25.48,17.12,33.37,0.51,12.22,4.54,0.67,9.7,2,7.97,3.36,11.02,17.92,0.41,45.79,8.08,34.47,10.63,119.78,25.48,17.12,7.2,1.45,11.13,3.12,11.85,7.51,9.5
3.36,148.86,96.22,14.25,40.6,1.07,37.23,34.85,23.17,15.34,0.43,10.15,12.06,5.25,10.33,0.32,6.13,14.04,9.03,9.16,0.52,148.86,96.22,14.25,40.6,1.07,37.23,34.85,23.17,15.34,0.43,5.55,10.18,4.16,7.92,0.11,3.7,17.56,6.15,9.23,0.64,96.22,14.25,40.6,1.07,37.23,34.85,23.17,10.95,4.23,9.88,0.2,3.49,18.22,6.75
