RAIN4PE,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt
89.51,132.13,85.98,73.06,52.08,109.81,91.58,125.47,93.21,117.17,42.23,85.26,72.38,100.87,74.43,200.06,222.89,185.5,128.47,157.96,66.98,132.13,85.98,73.06,52.08,109.81,91.58,125.47,93.21,117.17,42.23,81.9,82.56,111.76,81.13,190.81,203.38,180.53,127.46,162.73,67.22
144.73,128.66,80.31,89.8,42.48,48.73,73.07,43.74,111.67,104.37,52.74,101.34,145.74,142.31,83.79,95.46,163.5,88.66,165.15,154.37,81.75,128.66,80.31,89.8,42.48,48.73,73.07,43.74,111.67,104.37,52.74,102.14,136.51,142.65,86.6,109.77,154.2,98.01,160.25,149.8,79.9
64.37,42.15,54.24,35.54,36.69,21.78,60.3,31.35,39.67,42.55,91.42,22.53,64.87,35.96,49.68,34.7,39.24,63.5,42.13,54.94,110.61,42.15,54.24,35.54,36.69,21.78,60.3,31.35,39.67,42.55,91.42,20.78,64.69,35.9,49.72,35.91,42.52,63.47,44.91,52.75,114.62
10.96,53.54,60.56,24.99,46.49,27.85,30.36,16.12,3.3,27.83,8.06,9.89,22.22,21.18,31.6,34,6.76,24.27,4.83,36.48,21.6,53.54,60.56,24.99,46.49,27.85,30.36,16.12,3.3,27.83,8.06,7.16,22.27,23.64,32.73,39.36,2.74,27.6,4.42,42.08,19.59
8.09,15.32,29.81,21.72,5.67,13.24,85.79,13.2,12.52,4.75,0.01,2.42,12.05,16.93,3.39,13.07,12.9,14.63,13.62,13.3,0.12,15.32,29.81,21.72,5.67,13.24,85.79,13.2,12.52,4.75,0.01,0.39,21.86,15.99,1.13,8.71,8.9,13.08,15.57,12.95,1.45
11.71,153.01,43.33,15.89,47.22,10.07,86.26,17.38,14.19,1.34,0.38,13.28,11.87,9.65,23.87,6.49,12.1,10.32,12.84,2.69,1.76,153.01,43.33,15.89,47.22,10.07,86.26,17.38,14.19,1.34,0.38,11.36,12.22,9.86,35.02,4.65,12.85,7.98,9.74,1.36,3.64
8.9,117.9,39.37,40.65,137.15,15.39,126.96,16.92,26.79,4.57,0.67,17.93,11.02,33.37,77.95,10.27,45.85,15.21,23.29,12.99,3.61,117.9,39.37,40.65,137.15,15.39,126.96,16.92,26.79,4.57,0.67,67.75,3.68,24.52,151.16,5.57,51.56,4.75,17.97,8.44,4.03
52.72,200.41,69.81,32.25,55.13,63.41,49.44,20.62,33.2,16.77,0.24,33.99,24.6,29.7,30.21,49.71,55.46,37.5,28.32,33.11,0.74,200.41,69.81,32.25,55.13,63.41,49.44,20.62,33.2,16.77,0.24,32.43,7.94,23.85,19.83,61.83,53.6,33.14,16.41,31.3,1
35.44,164.82,89.51,121.12,64.42,67.72,26.95,43.5,19.43,17.19,7.81,37.39,53.57,159.69,57.26,87.73,53.53,49.72,25.25,27.27,23.08,164.82,89.51,121.12,64.42,67.72,26.95,43.5,19.43,17.19,7.81,29.25,53.83,142.29,54.07,74.37,53.69,58.85,26.52,26.17,60.97
52.22,201.12,131.62,69.34,127.83,22.28,29.84,58.97,38.74,54.41,13.83,67.58,79.6,77.82,135.37,27.4,67.17,51.59,42.47,54.86,40.04,201.12,131.62,69.34,127.83,22.28,29.84,58.97,38.74,54.41,13.83,66.03,80.98,78.24,136.86,30.79,67.37,52.1,47.49,51.83,48.63
